Customer ID,Recency,Frequency,Monetary,Customer_Age,Customer_Lifespan_Years,CLV,Churn_Prediction_Rate,CLV_segment,Churn_Risk,Customer_Segment
12346.0,326,34,77556.46,725,1.9863013698630136,154050.5,,Platinum,High Risk,Platinum-High Risk
12347.0,2,253,5633.32,403,1.104109589041096,6219.8,2.9501107,Platinum,Low Risk,Platinum-Low Risk
12348.0,75,51,2019.4,437,1.1972602739726028,2417.75,33.484257,Gold,Low Risk,Gold-Low Risk
12349.0,19,175,4428.69,588,1.610958904109589,7134.44,8.450973,Platinum,Low Risk,Platinum-Low Risk
12350.0,310,17,334.4,309,0.8465753424657534,283.09,62.725906,Bronze,Medium Risk,Bronze-Medium Risk
12351.0,375,21,300.93,374,1.0246575342465754,308.35,59.443665,Silver,Medium Risk,Silver-Medium Risk
12352.0,36,103,2849.84,392,1.073972602739726,3060.65,,Gold,High Risk,Gold-High Risk
12353.0,204,24,406.76,408,1.1178082191780823,454.68,,Silver,High Risk,Silver-High Risk
12354.0,232,58,1079.4,231,0.6328767123287671,683.13,,Silver,High Risk,Silver-High Risk
12355.0,214,35,947.61,567,1.5534246575342465,1472.04,34.299767,Gold,Low Risk,Gold-Low Risk
12356.0,23,143,6373.68,424,1.1616438356164382,7403.95,7.346797,Platinum,Low Risk,Platinum-Low Risk
12357.0,33,296,18287.66,388,1.063013698630137,19440.03,2.8254366,Platinum,Low Risk,Platinum-Low Risk
12358.0,2,77,3887.07,731,2.0027397260273974,7784.79,,Platinum,High Risk,Platinum-High Risk
12359.0,58,365,8935.94,733,2.0082191780821916,17945.33,3.349569,Platinum,Low Risk,Platinum-Low Risk
12360.0,52,217,4252.89,655,1.7945205479452055,7631.9,,Platinum,High Risk,Platinum-High Risk
12361.0,287,29,511.25,681,1.8657534246575342,953.87,33.67674,Silver,Low Risk,Silver-Low Risk
12362.0,3,267,5356.23,738,2.021917808219178,10829.86,2.002421,Platinum,Low Risk,Platinum-Low Risk
12363.0,110,23,552.0,241,0.6602739726027397,364.47,,Silver,High Risk,Silver-High Risk
12364.0,8,85,1313.1,111,0.3041095890410959,399.33,,Silver,High Risk,Silver-High Risk
12365.0,291,22,641.38,290,0.7945205479452054,509.59,,Silver,High Risk,Silver-High Risk
12366.0,634,3,500.24,633,1.7342465753424658,867.54,61.4487,Silver,Medium Risk,Silver-Medium Risk
12367.0,4,11,168.9,3,0.00821917808219178,1.39,64.58996,Bronze,Medium Risk,Bronze-Medium Risk
12368.0,628,18,917.6999999999999,627,1.7178082191780821,1576.43,42.551155,Gold,Low Risk,Gold-Low Risk
12369.0,413,93,1791.15,641,1.7561643835616438,3145.55,29.456509,Gold,Low Risk,Gold-Low Risk
12370.0,51,202,4320.31,668,1.83013698630137,7906.76,5.6419926,Platinum,Low Risk,Platinum-Low Risk
12371.0,45,167,4067.38,644,1.7643835616438357,7176.42,,Platinum,High Risk,Platinum-High Risk
12372.0,72,52,1298.04,296,0.810958904109589,1052.66,,Gold,High Risk,Gold-High Risk
12373.0,311,51,1127.65,673,1.8438356164383563,2079.2,35.764977,Gold,Low Risk,Gold-Low Risk
12374.0,25,83,2989.2200000000003,587,1.6082191780821917,4807.32,,Platinum,High Risk,Platinum-High Risk
12375.0,11,17,457.5,97,0.26575342465753427,121.58,,Bronze,High Risk,Bronze-High Risk
12376.0,390,13,503.15,417,1.1424657534246576,574.83,59.24921,Silver,Medium Risk,Silver-Medium Risk
12377.0,315,152,3426.32,588,1.610958904109589,5519.66,7.316144,Platinum,Low Risk,Platinum-Low Risk
12378.0,130,301,5416.32,561,1.536986301369863,8324.81,3.1458304,Platinum,Low Risk,Platinum-Low Risk
12379.0,82,81,1620.22,534,1.463013698630137,2370.4,,Gold,High Risk,Gold-High Risk
12380.0,22,277,9676.300000000001,662,1.8136986301369864,17549.89,,Platinum,High Risk,Platinum-High Risk
12381.0,5,87,1845.31,119,0.32602739726027397,601.62,,Silver,High Risk,Silver-High Risk
12383.0,185,99,1850.56,351,0.9616438356164384,1779.58,,Gold,High Risk,Gold-High Risk
12384.0,29,27,585.27,121,0.3315068493150685,194.02,,Bronze,High Risk,Bronze-High Risk
12385.0,379,65,1938.4,378,1.0356164383561643,2007.44,16.90737,Gold,Low Risk,Gold-Low Risk
12386.0,338,18,660.8,366,1.0027397260273974,662.61,,Silver,High Risk,Silver-High Risk
12387.0,415,9,143.94,414,1.1342465753424658,163.26,64.43827,Bronze,Medium Risk,Bronze-Medium Risk
12388.0,16,146,3901.11,581,1.5917808219178082,6209.71,7.346797,Platinum,Low Risk,Platinum-Low Risk
12389.0,403,49,1433.33,655,1.7945205479452055,2572.14,32.708508,Gold,Low Risk,Gold-Low Risk
12390.0,80,32,549.84,79,0.21643835616438356,119.01,28.783205,Bronze,Low Risk,Bronze-Low Risk
12391.0,22,281,2773.42,662,1.8136986301369864,5030.15,6.8973446,Platinum,Low Risk,Platinum-Low Risk
12392.0,591,7,234.75000000000003,590,1.6164383561643836,379.46,66.56223,Silver,Medium Risk,Silver-Medium Risk
12393.0,72,107,2399.4500000000003,427,1.16986301369863,2807.03,13.545137,Gold,Low Risk,Gold-Low Risk
12394.0,64,27,1272.48,216,0.5917808219178082,753.03,20.49407,Silver,Low Risk,Silver-Low Risk
12395.0,19,254,5067.27,602,1.6493150684931508,8357.52,,Platinum,High Risk,Platinum-High Risk
12396.0,674,65,931.43,673,1.8438356164383563,1717.4,32.651196,Gold,Low Risk,Gold-Low Risk
12397.0,36,126,2409.9,134,0.36712328767123287,884.73,6.016324,Silver,Low Risk,Silver-Low Risk
12398.0,46,85,1635.6599999999999,45,0.1232876712328767,201.66,,Bronze,High Risk,Bronze-High Risk
12399.0,119,110,1962.3,644,1.7643835616438357,3462.25,,Platinum,High Risk,Platinum-High Risk
12400.0,414,11,205.25,413,1.1315068493150684,232.24,68.446175,Bronze,Medium Risk,Bronze-Medium Risk
12401.0,303,5,84.3,302,0.8273972602739726,69.75,,Bronze,High Risk,Bronze-High Risk
12402.0,323,70,1256.9,670,1.8356164383561644,2307.19,16.229353,Gold,Low Risk,Gold-Low Risk
12403.0,50,9,1019.36,521,1.4273972602739726,1455.03,41.130672,Gold,Low Risk,Gold-Low Risk
12404.0,682,1,63.24,681,1.8657534246575342,117.99,92.251755,Bronze,High Risk,Bronze-High Risk
12405.0,149,54,1710.39,148,0.4054794520547945,693.53,,Silver,High Risk,Silver-High Risk
12406.0,22,166,6390.36,696,1.906849315068493,12185.45,,Platinum,High Risk,Platinum-High Risk
12407.0,50,77,1708.1200000000001,263,0.7205479452054795,1230.78,17.29927,Gold,Low Risk,Gold-Low Risk
12408.0,33,159,4340.7699999999995,497,1.3616438356164384,5910.58,,Platinum,High Risk,Platinum-High Risk
12409.0,79,264,23419.29,564,1.5452054794520549,36187.62,,Platinum,High Risk,Platinum-High Risk
12410.0,309,40,1013.71,501,1.3726027397260274,1391.42,39.913387,Gold,Low Risk,Gold-Low Risk
12411.0,410,22,346.9,409,1.1205479452054794,388.72,67.44792,Silver,Medium Risk,Silver-Medium Risk
12412.0,75,127,2596.93,538,1.473972602739726,3827.8,9.71621,Platinum,Low Risk,Platinum-Low Risk
12413.0,67,51,999.45,401,1.0986301369863014,1098.03,35.9732,Gold,Low Risk,Gold-Low Risk
12414.0,217,28,952.41,463,1.2684931506849315,1208.13,,Gold,High Risk,Gold-High Risk
12415.0,24,928,144458.37,527,1.4438356164383561,208574.14,,Platinum,High Risk,Platinum-High Risk
12416.0,657,11,202.56,656,1.7972602739726027,364.05,65.53033,Silver,Medium Risk,Silver-Medium Risk
12417.0,3,371,6816.91,733,2.0082191780821916,13689.85,,Platinum,High Risk,Platinum-High Risk
12418.0,113,102,2021.2,629,1.7232876712328766,3483.11,,Platinum,High Risk,Platinum-High Risk
12419.0,386,25,503.01,413,1.1315068493150684,569.16,61.59011,Silver,Medium Risk,Silver-Medium Risk
12420.0,64,29,600.39,63,0.1726027397260274,103.63,40.55892,Bronze,Low Risk,Bronze-Low Risk
12421.0,16,65,1098.6,504,1.3808219178082193,1516.97,,Gold,High Risk,Gold-High Risk
12422.0,96,172,5231.8,721,1.9753424657534246,10334.6,7.316144,Platinum,Low Risk,Platinum-Low Risk
12423.0,1,165,2622.39,465,1.273972602739726,3340.85,,Gold,High Risk,Gold-High Risk
12424.0,163,92,3340.03,547,1.4986301369863013,5005.47,18.395878,Platinum,Low Risk,Platinum-Low Risk
12425.0,78,91,1741.41,447,1.2246575342465753,2132.63,,Gold,High Risk,Gold-High Risk
12426.0,195,77,1345.21,662,1.8136986301369864,2439.81,30.461243,Gold,Low Risk,Gold-Low Risk
12427.0,22,41,1129.3,371,1.0164383561643835,1147.86,,Gold,High Risk,Gold-High Risk
12428.0,26,294,7956.46,283,0.7753424657534247,6168.98,3.1458304,Platinum,Low Risk,Platinum-Low Risk
12429.0,9,173,7485.91,545,1.4931506849315068,11177.59,,Platinum,High Risk,Platinum-High Risk
12430.0,43,11,256.4,42,0.11506849315068493,29.5,,Bronze,High Risk,Bronze-High Risk
12431.0,36,406,10857.97,693,1.8986301369863015,20615.27,1.8790299,Platinum,Low Risk,Platinum-Low Risk
12432.0,43,108,5059.32,171,0.4684931506849315,2370.26,,Gold,High Risk,Gold-High Risk
12433.0,1,706,20581.26,476,1.3041095890410959,26840.22,,Platinum,High Risk,Platinum-High Risk
12434.0,85,70,1103.43,380,1.0410958904109588,1148.78,30.201069,Gold,Low Risk,Gold-Low Risk
12435.0,80,112,13925.93,736,2.0164383561643837,28080.78,8.970464,Platinum,Low Risk,Platinum-Low Risk
12436.0,100,16,509.01,99,0.27123287671232876,138.06,,Bronze,High Risk,Bronze-High Risk
12437.0,2,564,12683.4,736,2.0164383561643837,25575.29,1.7953309,Platinum,Low Risk,Platinum-Low Risk
12438.0,14,98,2906.85,139,0.38082191780821917,1106.99,,Gold,High Risk,Gold-High Risk
12439.0,683,72,1158.18,725,1.9863013698630136,2300.49,31.5684,Gold,Low Risk,Gold-Low Risk
12440.0,462,32,859.2,717,1.9643835616438357,1687.8,44.06197,Gold,Low Risk,Gold-Low Risk
12441.0,367,22,347.1,366,1.0027397260273974,348.05,28.872166,Silver,Low Risk,Silver-Low Risk
12442.0,3,12,172.06,2,0.005479452054794521,0.94,,Bronze,High Risk,Bronze-High Risk
12443.0,732,21,485.31,731,2.0027397260273974,971.95,61.677433,Silver,Medium Risk,Silver-Medium Risk
12444.0,21,177,5005.46,170,0.4657534246575342,2331.31,9.62478,Gold,Low Risk,Gold-Low Risk
12445.0,22,24,434.98,420,1.1506849315068493,500.52,62.378006,Silver,Medium Risk,Silver-Medium Risk
