Customer ID,Recency,Frequency,Monetary,R,F,M,Segment
12346.0,326,34,77556.46,2,2,4,Lost
12347.0,2,253,5633.32,4,4,4,Loyal
12348.0,75,51,2019.4,3,2,3,At Risk
12349.0,19,175,4428.69,4,4,4,Loyal
12350.0,310,17,334.4,2,1,1,Champions
12351.0,375,21,300.93,2,1,1,Champions
12352.0,36,103,2849.84,3,3,4,Loyal
12353.0,204,24,406.76,2,2,2,Champions
12354.0,232,58,1079.4,2,3,3,Lost
12355.0,214,35,947.61,2,2,3,Lost
12356.0,23,143,6373.68,4,4,4,Loyal
12357.0,33,296,18287.66,3,4,4,Loyal
12358.0,2,77,3887.07,4,3,4,Loyal
12359.0,58,365,8935.94,3,4,4,Loyal
12360.0,52,217,4252.89,3,4,4,Loyal
12361.0,287,29,511.25,2,2,2,Champions
12362.0,3,267,5356.23,4,4,4,Loyal
12363.0,110,23,552.0,2,2,2,Champions
12364.0,8,85,1313.1,4,3,3,Loyal
12365.0,291,22,641.38,2,2,2,Champions
12366.0,634,3,500.24,1,1,2,Champions
12367.0,4,11,168.9,4,1,1,At Risk
12368.0,628,18,917.6999999999999,1,1,3,Champions
12369.0,413,93,1791.15,1,3,3,Lost
12370.0,51,202,4320.31,3,4,4,Loyal
12371.0,45,167,4067.38,3,4,4,Loyal
12372.0,72,52,1298.04,3,2,3,At Risk
12373.0,311,51,1127.65,2,2,3,Lost
12374.0,25,83,2989.2200000000003,4,3,4,Loyal
12375.0,11,17,457.5,4,1,2,At Risk
12376.0,390,13,503.15,1,1,2,Champions
12377.0,315,152,3426.32,2,4,4,Lost
12378.0,130,301,5416.32,2,4,4,Lost
12379.0,82,81,1620.22,3,3,3,Lost
12380.0,22,277,9676.300000000001,4,4,4,Loyal
12381.0,5,87,1845.31,4,3,3,Loyal
12383.0,185,99,1850.56,2,3,3,Lost
12384.0,29,27,585.27,3,2,2,At Risk
12385.0,379,65,1938.4,2,3,3,Lost
